abbreviation,countryOfBirthCountryId,dateOfBirth,dateOfDeath,firstName,fullName,gender,id,lastName,name,nationalityCountryId,permanentNumber,placeOfBirth,secondNationalityCountryId
KOI,austria,1948-11-03,1974-10-06,Helmuth,Helmuth Koinigg,MALE,helmuth-koinigg,Koinigg,Helmuth Koinigg,austria,,Vienna,
RSI,united-states-of-america,1991-09-25,,Alexander,Alexander Michael Rossi,MALE,alexander-rossi,Rossi,Alexander Rossi,united-states-of-america,53,Nevada City,
GUE,morocco,1919-05-06,2016-06-28,André,André Guelfi,MALE,andre-guelfi,Guelfi,André Guelfi,france,,Mazagan,
SCH,united-states-of-america,1926-05-11,2011-12-03,Rob,Robert Schroeder,MALE,rob-schroeder,Schroeder,Rob Schroeder,united-states-of-america,,El Dorado,
FIT,brazil,1943-12-25,2024-02-23,Wilson,Wilson Fittipaldi Júnior,MALE,wilson-fittipaldi,Fittipaldi,Wilson Fittipaldi,brazil,,São Paulo,
MOD,switzerland,1980-07-19,,Giorgio,Giorgio Mondini,MALE,giorgio-mondini,Mondini,Giorgio Mondini,switzerland,,Geneva,
REV,united-states-of-america,1939-02-27,1974-03-22,Peter,Peter Jeffrey Revson,MALE,peter-revson,Revson,Peter Revson,united-states-of-america,,New York,
WIN,germany,1980-06-13,,Markus,Markus Winkelhock,MALE,markus-winkelhock,Winkelhock,Markus Winkelhock,germany,,Stuttgart,
MOY,colombia,1975-09-20,,Juan Pablo,Juan Pablo Montoya Roldán,MALE,juan-pablo-montoya,Montoya,Juan Pablo Montoya,colombia,,Bogotá,
KIN,united-kingdom,1994-02-26,,Jordan,Jordan King,MALE,jordan-king,King,Jordan King,united-kingdom,,Harbury,
FIS,italy,1973-01-14,,Giancarlo,Giancarlo Fisichella,MALE,giancarlo-fisichella,Fisichella,Giancarlo Fisichella,italy,,Rome,
MIL,belgium,1928-12-09,,André,André Milhoux,MALE,andre-milhoux,Milhoux,André Milhoux,belgium,,Liège,
KAV,australia,1923-12-12,2019-11-26,Ken,Thomas Kenrick Kavanagh,MALE,ken-kavanagh,Kavanagh,Ken Kavanagh,australia,,Melbourne,
RIE,germany,1922-07-11,1991-05-15,Fritz,Fritz Riess,MALE,fritz-riess,Riess,Fritz Riess,germany,,Nuremberg,
WEB,australia,1976-08-27,,Mark,Mark Alan Webber,MALE,mark-webber,Webber,Mark Webber,australia,,Queanbeyan,
FAN,argentina,1911-06-24,1995-07-17,Juan Manuel,Juan Manuel Fangio Déramo,MALE,juan-manuel-fangio,Fangio,Juan Manuel Fangio,argentina,,Balcarce,
KAT,japan,1963-05-29,,Ukyo,Ukyo Katayama,MALE,ukyo-katayama,Katayama,Ukyo Katayama,japan,,Tokyo,
RIC,united-kingdom,1911-08-21,1997-06-27,Ken,William Kenneth Richardson,MALE,ken-richardson,Richardson,Ken Richardson,united-kingdom,,Bourne,
MAG,united-states-of-america,1920-02-08,2006-08-31,Mike,Charles Michael Magill,MALE,mike-magill,Magill,Mike Magill,united-states-of-america,,Haddonfield,
WEH,germany,1994-10-18,,Pascal,Pascal Wehrlein,MALE,pascal-wehrlein,Wehrlein,Pascal Wehrlein,germany,94,Sigmaringen,mauritania
SAI,united-states-of-america,1932-05-05,2002-03-24,Bob,Boris Said,MALE,bob-said,Said,Bob Said,united-states-of-america,,New York City,
WIL,south-africa,1953-11-26,,Desiré,Desiré Randall Wilson,FEMALE,desire-wilson,Wilson,Desiré Wilson,south-africa,,Brakpan,
BON,italy,1903-06-09,1953-11-21,Felice,Felice Bonetto,MALE,felice-bonetto,Bonetto,Felice Bonetto,italy,,Manerbio,
PAL,united-kingdom,1991-01-20,,Jolyon,Jolyon Carlyle Palmer,MALE,jolyon-palmer,Palmer,Jolyon Palmer,united-kingdom,30,Horsham,
DEV,netherlands,1995-02-06,,Nyck,Nyck de Vries,MALE,nyck-de-vries,De Vries,Nyck de Vries,netherlands,21,Uitwellingerga,
BIO,italy,1898-10-18,1955-02-24,Clemente,Clemente Biondetti,MALE,clemente-biondetti,Biondetti,Clemente Biondetti,italy,,Buddusò,
PAL,united-kingdom,1956-11-07,,Jonathan,Jonathan Charles Palmer,MALE,jonathan-palmer,Palmer,Jonathan Palmer,united-kingdom,,Lewisham,
OLI,united-kingdom,1942-08-14,,Jackie,Keith Jack Oliver,MALE,jackie-oliver,Oliver,Jackie Oliver,united-kingdom,,Chadwell Heath,
NIC,new-zealand,1941-10-06,,John,John Nicholson,MALE,john-nicholson,Nicholson,John Nicholson,new-zealand,,Auckland,
BAN,libya,1935-12-21,1967-05-10,Lorenzo,Lorenzo Bandini,MALE,lorenzo-bandini,Bandini,Lorenzo Bandini,italy,,Barce,
PIP,united-kingdom,1930-12-02,,David,David Piper,MALE,david-piper,Piper,David Piper,united-kingdom,,Edgware,
MAY,united-states-of-america,1938-02-22,1964-02-28,Timmy,Timothy Andrew Mayer,MALE,timmy-mayer,Mayer,Timmy Mayer,united-states-of-america,,Dalton,
VON,united-states-of-america,1947-10-14,,Rikky,Frederick von Opel,MALE,rikky-von-opel,Von Opel,Rikky von Opel,liechtenstein,,New York City,
COM,italy,1906-07-24,1963-05-10,Franco,Gianfranco Comotti,MALE,franco-comotti,Comotti,Franco Comotti,italy,,Brescia,
