abbreviation,countryOfBirthCountryId,dateOfBirth,dateOfDeath,firstName,fullName,gender,id,lastName,name,nationalityCountryId,permanentNumber,placeOfBirth,secondNationalityCountryId
TAR,italy,1906-10-12,1988-01-12,Piero,Piero Taruffi,MALE,piero-taruffi,Taruffi,Piero Taruffi,italy,,Albano Laziale,
MAI,france,1910-08-10,1954-04-24,Guy,Guy Mairesse,MALE,guy-mairesse,Mairesse,Guy Mairesse,france,,Warmeriville,
TAK,japan,1951-06-06,,Noritake,Noritake Takahara,MALE,noritake-takahara,Takahara,Noritake Takahara,japan,,Tokyo,
GAL,argentina,1913-08-17,1989-12-16,Oscar Alfredo,Oscar Alfredo Gálvez,MALE,oscar-alfredo-galvez,Gálvez,Oscar Alfredo Gálvez,argentina,,Buenos Aires,
AYU,united-states-of-america,1921-10-20,1955-05-17,Manny,Manuel Leaonedas Ayulo,MALE,manny-ayulo,Ayulo,Manny Ayulo,united-states-of-america,,Burbank,
BAL,united-states-of-america,1925-08-26,1954-02-27,Bobby,Robert K. Ball,MALE,bobby-ball,Ball,Bobby Ball,united-states-of-america,,Phoenix,
COL,france,1930-10-07,2011-09-19,Bernard,Bernard Marie François Alexandre Collomb-Clerc,MALE,bernard-collomb,Collomb,Bernard Collomb,france,,Annecy,
CHI,united-states-of-america,1912-04-14,1988-01-03,Joie,George Rice Chitwood,MALE,joie-chitwood,Chitwood,Joie Chitwood,united-states-of-america,,Denison,
FRI,austria,1980-09-26,,Patrick,Patrick Friesacher,MALE,patrick-friesacher,Friesacher,Patrick Friesacher,austria,,Wolfsberg,
KIE,denmark,1978-03-03,,Nicolas,Nicolas Kiesa,MALE,nicolas-kiesa,Kiesa,Nicolas Kiesa,denmark,,Copenhagen,
ALB,united-kingdom,1996-03-23,,Alexander,Alexander Albon,MALE,alexander-albon,Albon,Alexander Albon,thailand,23,London,
DET,belgium,1927-06-07,1953-09-18,Charles,Charles de Tornaco,MALE,charles-de-tornaco,De Tornaco,Charles de Tornaco,belgium,,Brussels,
SAL,finland,1966-11-30,,Mika,Mika Juhani Salo,MALE,mika-salo,Salo,Mika Salo,finland,,Helsinki,
NAK,japan,1953-02-23,,Satoru,Satoru Nakajima,MALE,satoru-nakajima,Nakajima,Satoru Nakajima,japan,,Okazaki,
NEE,united-kingdom,1951-10-29,,Tiff,Timothy Needell,MALE,tiff-needell,Needell,Tiff Needell,united-kingdom,,Havant,
RUD,switzerland,1942-07-23,,Jean-Claude,Jean-Claude Rudaz,MALE,jean-claude-rudaz,Rudaz,Jean-Claude Rudaz,switzerland,,Sion,
ZAP,spain,1944-05-27,1996-08-06,Emilio,Emilio Rodríguez Zapico,MALE,emilio-zapico,Zapico,Emilio Zapico,spain,,León,
MAR,russia,1994-09-10,,Artem,Artem Valeryevich Markelov,MALE,artem-markelov,Markelov,Artem Markelov,russia,,Moscow,
HAR,united-kingdom,1936-09-07,2014-01-05,Brian,Brian Hart,MALE,brian-hart,Hart,Brian Hart,united-kingdom,,Enfield,
PAL,sweden,1947-07-23,,Torsten,Torsten Palm,MALE,torsten-palm,Palm,Torsten Palm,sweden,,Kristinehamn,
HAN,united-states-of-america,1919-10-28,1966-04-07,Walt,Walter Edwin Hansgen,MALE,walt-hansgen,Hansgen,Walt Hansgen,united-states-of-america,,Westfield,
HAL,united-states-of-america,1935-07-23,,Jim,Jim Hall,MALE,jim-hall,Hall,Jim Hall,united-states-of-america,,Abilene,
GIN,united-states-of-america,1930-08-05,1989-09-20,Richie,Paul Richard Ginther,MALE,richie-ginther,Ginther,Richie Ginther,united-states-of-america,,Hollywood,
SHE,new-zealand,1937-02-02,1998-10-04,Tony,Anthony Lionel Shelly,MALE,tony-shelly,Shelly,Tony Shelly,new-zealand,,Wellington,
ALE,france,1964-06-11,,Jean,Giovanni Alesi,MALE,jean-alesi,Alesi,Jean Alesi,france,,Avignon,
WEI,germany,1962-03-18,,Volker,Volker Weidler,MALE,volker-weidler,Weidler,Volker Weidler,germany,,Heidelberg,
WAL,switzerland,1927-07-28,2009-05-12,Heini,Heini Walter,MALE,heini-walter,Walter,Heini Walter,switzerland,,Alpthal,
CON,united-states-of-america,1918-02-22,1968-01-07,George,George J. Constantine,MALE,george-constantine,Constantine,George Constantine,united-states-of-america,,Southbridge,
MCG,australia,1945-12-13,1977-08-29,Brian,Brian McGuire,MALE,brian-mcguire,McGuire,Brian McGuire,australia,,East Melbourne,
BER,austria,1959-08-27,,Gerhard,Gerhard Berger,MALE,gerhard-berger,Berger,Gerhard Berger,austria,,Wörgl,
BEL,france,1963-04-23,,Paul,Paul Alexandre Belmondo,MALE,paul-belmondo,Belmondo,Paul Belmondo,france,,Boulogne-Billancourt,
IRW,united-kingdom,1942-06-27,,Chris,Chris Irwin,MALE,chris-irwin,Irwin,Chris Irwin,united-kingdom,,London,
BUE,switzerland,1988-10-31,,Sébastien,Sébastien Olivier Buemi,MALE,sebastien-buemi,Buemi,Sébastien Buemi,switzerland,,Aigle,
AMO,new-zealand,1943-07-20,2016-08-03,Chris,Christopher Arthur Amon,MALE,chris-amon,Amon,Chris Amon,new-zealand,,Bulls,
PAG,italy,1911-10-11,2003-10-19,Nello,Cirillo Pagani,MALE,nello-pagani,Pagani,Nello Pagani,italy,,Milan,
CAN,united-kingdom,1933-06-21,1999-10-18,John,John Cannon,MALE,john-cannon,Cannon,John Cannon,canada,,London,
HUN,united-kingdom,1947-08-29,1993-06-15,James,James Simon Wallis Hunt,MALE,james-hunt,Hunt,James Hunt,united-kingdom,,Belmont,
MSC,switzerland,1999-03-22,,Mick,Mick Schumacher,MALE,mick-schumacher,Schumacher,Mick Schumacher,germany,47,Vufflens-le-Château,
BUE,united-kingdom,1923-06-06,1959-08-01,Ivor,Ivor Léon John Bueb,MALE,ivor-bueb,Bueb,Ivor Bueb,united-kingdom,,East Ham,
HER,united-states-of-america,1926-03-15,1960-06-18,Al,Al Herman,MALE,al-herman,Herman,Al Herman,united-states-of-america,,Topton,
BRI,united-kingdom,1934-06-24,1991-07-30,Tom,Thomas Bridger,MALE,tom-bridger,Bridger,Tom Bridger,united-kingdom,,Woolmer Green,
RYA,united-states-of-america,1940-06-10,1962-07-02,Peter,Peter B. Ryan,MALE,peter-ryan,Ryan,Peter Ryan,canada,,Philadelphia,
WID,united-kingdom,1942-05-27,,Robin,Robin Michael Widdows,MALE,robin-widdows,Widdows,Robin Widdows,united-kingdom,,Cowley,
MIL,united-kingdom,1943-06-14,2018-04-08,John,John Miles,MALE,john-miles,Miles,John Miles,united-kingdom,,London,
