id,name,firstName,lastName,fullName,abbreviation,permanentNumber,gender,dateOfBirth,dateOfDeath,placeOfBirth,countryOfBirthCountryId,nationalityCountryId,secondNationalityCountryId
frank-dochnal,Frank Dochnal,Frank,Dochnal,Frank J. Dochnal,DOC,,MALE,1920-10-08,2010-07-07,St. Louis,united-states-of-america,united-states-of-america,
bill-vukovich,Bill Vukovich,Bill,Vukovich,William John Vukovich,VUK,,MALE,1918-12-13,1955-05-30,Oakland,united-states-of-america,united-states-of-america,
bernard-de-dryver,Bernard de Dryver,Bernard,De Dryver,Bernard de Dryver,DED,,MALE,1952-09-19,,Brussels,belgium,belgium,
narain-karthikeyan,Narain Karthikeyan,Narain,Karthikeyan,Kumar Ram Narain Karthikeyan,KAR,,MALE,1977-01-14,,Coimbatore,india,india,
gene-force,Gene Force,Gene,Force,Gene Force,FOR,,MALE,1916-06-15,1983-08-21,New Madison,united-states-of-america,united-states-of-america,
kurt-adolff,Kurt Adolff,Kurt,Adolff,Kurt Adolff,ADO,,MALE,1921-11-05,2012-01-24,Stuttgart,germany,germany,
jean-christophe-boullion,Jean-Christophe Boullion,Jean-Christophe,Boullion,Jean-Christophe Boullion,BOU,,MALE,1969-12-27,,Saint-Brieuc,france,france,
jimmy-daywalt,Jimmy Daywalt,Jimmy,Daywalt,Jimmy Daywalt,DAY,,MALE,1924-08-28,1966-04-04,Wabash,united-states-of-america,united-states-of-america,
jacques-villeneuve-sr,"Jacques Villeneuve, Sr.",Jacques,"Villeneuve, Sr.",Jacques-Joseph Villeneuve,VIL,,MALE,1953-11-04,,Berthierville,canada,canada,
helm-glockler,Helm Glöckler,Helm,Glöckler,Helm Glöckler,GLO,,MALE,1909-01-13,1993-12-18,Frankfurt am Main,germany,germany,
robert-shwartzman,Robert Shwartzman,Robert,Shwartzman,Robert Mikhailovich Shwartzman,SHW,,MALE,1999-09-16,,Tel Aviv,israel,russia,israel
luigi-taramazzo,Luigi Taramazzo,Luigi,Taramazzo,Luigi Taramazzo,TAR,,MALE,1932-05-05,2004-02-15,Ceva,italy,italy,
patrick-tambay,Patrick Tambay,Patrick,Tambay,Patrick Daniel Tambay,TAM,,MALE,1949-06-25,2022-12-04,Paris,france,france,
george-fonder,George Fonder,George,Fonder,George Fonder,FON,,MALE,1917-06-22,1958-06-14,Elmhurst,united-states-of-america,united-states-of-america,
jean-pierre-jabouille,Jean-Pierre Jabouille,Jean-Pierre,Jabouille,Jean-Pierre Alain Jabouille,JAB,,MALE,1942-10-01,2023-02-02,Paris,france,france,
bruce-johnstone,Bruce Johnstone,Bruce,Johnstone,William Bruce Gordon Johnstone,JOH,,MALE,1937-01-30,2022-03-03,Durban,south-africa,south-africa,
rodger-ward,Rodger Ward,Rodger,Ward,Rodger M. Ward,WAR,,MALE,1921-01-10,2004-07-05,Beloit,united-states-of-america,united-states-of-america,
kurt-ahrens-jr,"Kurt Ahrens, Jr.",Kurt,"Ahrens, Jr.",Kurt Karl-Heinrich Ahrens,AHR,,MALE,1940-04-19,,Braunschweig,germany,germany,
marcel-balsa,Marcel Balsa,Marcel,Balsa,Marcel Lucien Balsa,BAL,,MALE,1909-01-01,1984-08-11,Creuse,france,france,
sebastien-bourdais,Sébastien Bourdais,Sébastien,Bourdais,Sébastien Olivier Bourdais,BOU,,MALE,1979-02-28,,Le Mans,france,france,
jean-denis-deletraz,Jean-Denis Délétraz,Jean-Denis,Délétraz,Jean-Denis Délétraz,DEL,,MALE,1963-10-01,,Geneva,switzerland,switzerland,
naoki-hattori,Naoki Hattori,Naoki,Hattori,Naoki Hattori,HAT,,MALE,1966-06-13,,Yokkaichi,japan,japan,
joachim-winkelhock,Joachim Winkelhock,Joachim,Winkelhock,Joachim Winkelhock,WIN,,MALE,1960-10-24,,Waiblingen,germany,germany,
alessandro-nannini,Alessandro Nannini,Alessandro,Nannini,Alessandro Nannini,NAN,,MALE,1959-07-07,,Siena,italy,italy,
doug-serrurier,Doug Serrurier,Doug,Serrurier,Louis Douglas Serrurier,SER,,MALE,1920-12-09,2006-06-04,Germiston,south-africa,south-africa,
clay-regazzoni,Clay Regazzoni,Clay,Regazzoni,Gianclaudio Giuseppe Regazzoni,REG,,MALE,1939-09-05,2006-12-15,Mendrisio,switzerland,switzerland,
renato-pirocchi,Renato Pirocchi,Renato,Pirocchi,Renato Pirocchi,PIR,,MALE,1933-03-26,2002-07-29,Notaresco,italy,italy,
charles-pic,Charles Pic,Charles,Pic,Charles Pic,PIC,,MALE,1990-02-15,,Montélimar,france,france,
jackie-stewart,Jackie Stewart,Jackie,Stewart,Sir John Young Stewart,STE,,MALE,1939-06-11,,Milton,united-kingdom,united-kingdom,
toni-branca,Toni Branca,Toni,Branca,Antonio Branca,BRA,,MALE,1916-09-15,1985-05-10,Sion,switzerland,switzerland,
enrique-bernoldi,Enrique Bernoldi,Enrique,Bernoldi,Enrique Antônio Langue e Silvério de Bernoldi,BER,,MALE,1978-10-19,,Curitiba,brazil,brazil,
ayumu-iwasa,Ayumu Iwasa,Ayumu,Iwasa,Ayumu Iwasa,IWA,,MALE,2001-09-22,,Moriguchi,japan,japan,
bobby-rahal,Bobby Rahal,Bobby,Rahal,Robert Woodward Rahal,RAH,,MALE,1953-01-10,,Medina,united-states-of-america,united-states-of-america,
roger-laurent,Roger Laurent,Roger,Laurent,Roger Laurent,LAU,,MALE,1913-02-21,1997-02-06,Liège,belgium,belgium,
luigi-villoresi,Luigi Villoresi,Luigi,Villoresi,Luigi Villoresi,VIL,,MALE,1909-05-16,1997-08-24,Milan,italy,italy,
