abbreviation,countryOfBirthCountryId,dateOfBirth,dateOfDeath,firstName,fullName,gender,id,lastName,name,nationalityCountryId,permanentNumber,placeOfBirth,secondNationalityCountryId
LOT,germany,1981-11-19,,André,André Lotterer,MALE,andre-lotterer,Lotterer,André Lotterer,germany,,Duisburg,belgium
GUE,colombia,1958-11-16,,Roberto,Roberto José Guerrero Isaza,MALE,roberto-guerrero,Guerrero,Roberto Guerrero,colombia,,Medellín,
MOS,switzerland,1941-04-24,1974-05-26,Silvio,Silvio Moser,MALE,silvio-moser,Moser,Silvio Moser,switzerland,,Zürich,
MAI,belgium,1928-10-01,1969-09-02,Willy,Willy Mairesse,MALE,willy-mairesse,Mairesse,Willy Mairesse,belgium,,Momignies,
LEC,france,1946-03-18,,Michel,Michel Leclère,MALE,michel-leclere,Leclère,Michel Leclère,france,,Mantes-la-Jolie,
GAN,new-zealand,1941-12-24,,Howden,James Howden Ganley,MALE,howden-ganley,Ganley,Howden Ganley,new-zealand,,Hamilton,
DON,united-states-of-america,1937-03-18,1975-08-19,Mark,Mark Neary Donohue Jr.,MALE,mark-donohue,Donohue,Mark Donohue,united-states-of-america,,Haddon Township,
HUL,new-zealand,1936-06-18,1992-10-04,Denny,Denis Clive Hulme,MALE,denny-hulme,Hulme,Denny Hulme,new-zealand,,Motueka,
MAZ,russia,1999-03-02,,Nikita,Nikita Dmitryevich Mazepin,MALE,nikita-mazepin,Mazepin,Nikita Mazepin,russia,9,Moscow,
WUR,austria,1974-02-15,,Alexander,Alexander Wurz,MALE,alexander-wurz,Wurz,Alexander Wurz,austria,,Waidhofen an der Thaya,
NAL,united-states-of-america,1913-03-02,2001-02-26,Dennis,Dennis Nalon,MALE,duke-nalon,Nalon,Duke Nalon,united-states-of-america,,Chicago,
MOD,italy,1963-05-12,,Stefano,Stefano Modena,MALE,stefano-modena,Modena,Stefano Modena,italy,,Modena,
DET,argentina,1928-07-10,2003-05-21,Alejandro,Alejandro de Tomaso,MALE,alejandro-de-tomaso,De Tomaso,Alejandro de Tomaso,argentina,,Buenos Aires,
ZOR,italy,1946-12-12,2015-05-15,Renzo,Renzo Zorzi,MALE,renzo-zorzi,Zorzi,Renzo Zorzi,italy,,Ziano di Fiemme,
RAP,algeria,1961-05-27,,Pierre-Henri,Pierre-Henri Raphanel,MALE,pierre-henri-raphanel,Raphanel,Pierre-Henri Raphanel,france,,Algiers,
ELI,united-states-of-america,1926-12-09,1959-08-30,Ed,Ed Elisian,MALE,ed-elisian,Elisian,Ed Elisian,united-states-of-america,,Oakland,
ASC,italy,1918-07-13,1955-05-26,Alberto,Alberto Ascari,MALE,alberto-ascari,Ascari,Alberto Ascari,italy,,Milan,
RSC,germany,1975-06-30,,Ralf,Ralf Schumacher,MALE,ralf-schumacher,Schumacher,Ralf Schumacher,germany,,Hürth,
SAC,united-states-of-america,1927-05-28,1964-05-30,Eddie,"Edward Julius Sachs, Jr.",MALE,eddie-sachs,Sachs,Eddie Sachs,united-states-of-america,,Allentown,
MAG,united-kingdom,1945-11-17,,Damien,Damien Magee,MALE,damien-magee,Magee,Damien Magee,united-kingdom,,Belfast,
BRO,united-kingdom,1932-02-25,2022-05-03,Tony,Charles Anthony Standish Brooks,MALE,tony-brooks,Brooks,Tony Brooks,united-kingdom,,Dukinfield,
