abbreviation,countryOfBirthCountryId,dateOfBirth,dateOfDeath,firstName,fullName,gender,id,lastName,name,nationalityCountryId,permanentNumber,placeOfBirth,secondNationalityCountryId
CAB,france,1904-10-08,1973-03-30,Yves,Marius Aristide Yves Giraud-Cabantous,MALE,yves-giraud-cabantous,Giraud-Cabantous,Yves Giraud-Cabantous,france,,Saint-Gaudens,
PRE,south-africa,1934-11-22,2009-03-30,Jackie,Jacobus Pretorius,MALE,jackie-pretorius,Pretorius,Jackie Pretorius,south-africa,,Potchefstroom,
WIL,united-kingdom,1946-01-07,,Mike,Mike Wilds,MALE,mike-wilds,Wilds,Mike Wilds,united-kingdom,,Chiswick,
DUN,united-states-of-america,1911-07-25,1998-08-01,Len,Len Duncan,MALE,len-duncan,Duncan,Len Duncan,united-states-of-america,,Brooklyn,
MAR,switzerland,1994-12-17,,Raffaele,Raffaele Marciello,MALE,raffaele-marciello,Marciello,Raffaele Marciello,italy,,Zürich,
CAN,uruguay,1906-10-04,1997-06-06,Eitel,Eitel Danilo Cantoni,MALE,eitel-cantoni,Cantoni,Eitel Cantoni,uruguay,,Montevideo,
CLO,spain,1988-10-23,,Dani,Daniel Clos Álvarez,MALE,dani-clos,Clos,Dani Clos,spain,,Barcelona,
GAC,luxembourg,1962-12-23,,Bertrand,Bertrand Gachot,MALE,bertrand-gachot,Gachot,Bertrand Gachot,france,,Luxembourg,
LED,south-africa,1938-09-25,2019-05-17,Neville,Neville Lederle,MALE,neville-lederle,Lederle,Neville Lederle,south-africa,,Theunissen,
SUT,germany,1983-01-11,,Adrian,Adrian Sutil,MALE,adrian-sutil,Sutil,Adrian Sutil,germany,,Starnberg,
MAN,united-kingdom,1953-08-08,,Nigel,Nigel Ernest James Mansell,MALE,nigel-mansell,Mansell,Nigel Mansell,united-kingdom,,Upton-upon-Severn,
ROS,united-states-of-america,1906-05-26,1981-01-01,Mauri,Maurice Rose,MALE,mauri-rose,Rose,Mauri Rose,united-states-of-america,,Columbus,
NAK,japan,1971-04-01,,Shinji,Shinji Nakano,MALE,shinji-nakano,Nakano,Shinji Nakano,japan,,Takatsuki,
TRU,italy,1974-07-13,,Jarno,Jarno Trulli,MALE,jarno-trulli,Trulli,Jarno Trulli,italy,,Pescara,
GER,united-kingdom,1914-01-19,1990-01-26,Bob,Frederick Roberts Gerard,MALE,bob-gerard,Gerard,Bob Gerard,united-kingdom,,Leicester,
LAM,netherlands,1956-06-02,,Jan,Johannes Lammers,MALE,jan-lammers,Lammers,Jan Lammers,netherlands,,Zandvoort,
AMI,united-states-of-america,1929-01-19,1995-05-16,Red,Richard Amick,MALE,red-amick,Amick,Red Amick,united-states-of-america,,Kansas City,
ROD,mexico,1940-01-18,1971-07-11,Pedro,Pedro Rodríguez de la Vega,MALE,pedro-rodriguez,Rodríguez,Pedro Rodríguez,mexico,,Mexico City,
PES,france,1942-09-25,,Henri,Henri Jacques William Pescarolo,MALE,henri-pescarolo,Pescarolo,Henri Pescarolo,france,,Montfermeil,
BER,canada,1961-08-01,,Allen,Allen Bernard Berg,MALE,allen-berg,Berg,Allen Berg,canada,,Vancouver,
FOH,united-states-of-america,1912-06-17,1994-01-14,Myron,Myron W. Fohr,MALE,myron-fohr,Fohr,Myron Fohr,united-states-of-america,,Racine,
DAV,united-kingdom,1979-04-18,,Anthony,Anthony Denis Davidson,MALE,anthony-davidson,Davidson,Anthony Davidson,united-kingdom,,Hemel Hempstead,
