id,name,firstName,lastName,fullName,abbreviation,permanentNumber,gender,dateOfBirth,dateOfDeath,placeOfBirth,countryOfBirthCountryId,nationalityCountryId,secondNationalityCountryId
yves-giraud-cabantous,Yves Giraud-Cabantous,Yves,Giraud-Cabantous,Marius Aristide Yves Giraud-Cabantous,CAB,,MALE,1904-10-08,1973-03-30,Saint-Gaudens,france,france,
jackie-pretorius,Jackie Pretorius,Jackie,Pretorius,Jacobus Pretorius,PRE,,MALE,1934-11-22,2009-03-30,Potchefstroom,south-africa,south-africa,
mike-wilds,Mike Wilds,Mike,Wilds,Mike Wilds,WIL,,MALE,1946-01-07,,Chiswick,united-kingdom,united-kingdom,
len-duncan,Len Duncan,Len,Duncan,Len Duncan,DUN,,MALE,1911-07-25,1998-08-01,Brooklyn,united-states-of-america,united-states-of-america,
raffaele-marciello,Raffaele Marciello,Raffaele,Marciello,Raffaele Marciello,MAR,,MALE,1994-12-17,,Zürich,switzerland,italy,
eitel-cantoni,Eitel Cantoni,Eitel,Cantoni,Eitel Danilo Cantoni,CAN,,MALE,1906-10-04,1997-06-06,Montevideo,uruguay,uruguay,
dani-clos,Dani Clos,Dani,Clos,Daniel Clos Álvarez,CLO,,MALE,1988-10-23,,Barcelona,spain,spain,
bertrand-gachot,Bertrand Gachot,Bertrand,Gachot,Bertrand Gachot,GAC,,MALE,1962-12-23,,Luxembourg,luxembourg,france,
neville-lederle,Neville Lederle,Neville,Lederle,Neville Lederle,LED,,MALE,1938-09-25,2019-05-17,Theunissen,south-africa,south-africa,
adrian-sutil,Adrian Sutil,Adrian,Sutil,Adrian Sutil,SUT,,MALE,1983-01-11,,Starnberg,germany,germany,
nigel-mansell,Nigel Mansell,Nigel,Mansell,Nigel Ernest James Mansell,MAN,,MALE,1953-08-08,,Upton-upon-Severn,united-kingdom,united-kingdom,
mauri-rose,Mauri Rose,Mauri,Rose,Maurice Rose,ROS,,MALE,1906-05-26,1981-01-01,Columbus,united-states-of-america,united-states-of-america,
shinji-nakano,Shinji Nakano,Shinji,Nakano,Shinji Nakano,NAK,,MALE,1971-04-01,,Takatsuki,japan,japan,
jarno-trulli,Jarno Trulli,Jarno,Trulli,Jarno Trulli,TRU,,MALE,1974-07-13,,Pescara,italy,italy,
bob-gerard,Bob Gerard,Bob,Gerard,Frederick Roberts Gerard,GER,,MALE,1914-01-19,1990-01-26,Leicester,united-kingdom,united-kingdom,
jan-lammers,Jan Lammers,Jan,Lammers,Johannes Lammers,LAM,,MALE,1956-06-02,,Zandvoort,netherlands,netherlands,
red-amick,Red Amick,Red,Amick,Richard Amick,AMI,,MALE,1929-01-19,1995-05-16,Kansas City,united-states-of-america,united-states-of-america,
pedro-rodriguez,Pedro Rodríguez,Pedro,Rodríguez,Pedro Rodríguez de la Vega,ROD,,MALE,1940-01-18,1971-07-11,Mexico City,mexico,mexico,
henri-pescarolo,Henri Pescarolo,Henri,Pescarolo,Henri Jacques William Pescarolo,PES,,MALE,1942-09-25,,Montfermeil,france,france,
allen-berg,Allen Berg,Allen,Berg,Allen Bernard Berg,BER,,MALE,1961-08-01,,Vancouver,canada,canada,
myron-fohr,Myron Fohr,Myron,Fohr,Myron W. Fohr,FOH,,MALE,1912-06-17,1994-01-14,Racine,united-states-of-america,united-states-of-america,
