id,engineManufacturerId,name,fullName,capacity,configuration,aspiration
cosworth-ca2006-24-v8,cosworth,CA2006,Cosworth CA2006 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
ferrari-500-20-l4,ferrari,500,Ferrari 500 2.0 L4,2.0,L4,NATURALLY_ASPIRATED
honda-ra616h-16-v6-t-h,honda,RA616H,Honda RA616H 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
ferrari-143-24-v6,ferrari,143,Ferrari 143 2.4 V6,2.4,V6,NATURALLY_ASPIRATED
yamaha-ox10b-35-v10,yamaha,OX10B,Yamaha OX10B 3.5 V10,3.5,V10,NATURALLY_ASPIRATED
ford-hba1-4-35-v8,ford,HBA1/4,Ford HBA1/4 3.5 V8,3.5,V8,NATURALLY_ASPIRATED
ford-ed5-30-v8,ford,ED5,Ford ED5 3.0 V8,3.0,V8,NATURALLY_ASPIRATED
ford-ed3-30-v8,ford,ED3,Ford ED3 3.0 V8,3.0,V8,NATURALLY_ASPIRATED
climax-fpf-28-l4,climax,FPF,Climax FPF 2.8 L4,2.8,L4,NATURALLY_ASPIRATED
ferrari-d156-15-v6,ferrari,D156,Ferrari D156 1.5 V6,1.5,V6,NATURALLY_ASPIRATED
mugen-honda-mf-301hc-30-v10,mugen-honda,MF-301HC,Mugen-Honda MF-301HC 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
european-30-v10,european,European,European 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ferrari-049-30-v10,ferrari,049,Ferrari 049 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
peugeot-a12-ev5-30-v10,peugeot,A12 EV5,Peugeot A12 EV5 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ferrari-tipo-031-15-v6-t,ferrari,Tipo 031,Ferrari Tipo 031 1.5 V6 T,1.5,V6,TURBOCHARGED
plate-20-l4,plate,Platé,Platé 2.0 L4,2.0,L4,NATURALLY_ASPIRATED
honda-ra618h-16-v6-t-h,honda,RA618H,Honda RA618H 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
climax-fpf-25-l4,climax,FPF,Climax FPF 2.5 L4,2.5,L4,NATURALLY_ASPIRATED
peugeot-a14-30-v10,peugeot,A14,Peugeot A14 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
renault-energy-f1-2015-16-v6-t-h,renault,Energy F1 2015,Renault Energy F1 2015 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
ferrari-218-30-v12,ferrari,218,Ferrari 218 3.0 V12,3.0,V12,NATURALLY_ASPIRATED
veritas-20-l6,veritas,Veritas,Veritas 2.0 L6,2.0,L6,NATURALLY_ASPIRATED
maserati-4clt-15-l4-s,maserati,4CLT,Maserati 4CLT 1.5 L4 S,1.5,L4,SUPERCHARGED
honda-ra617h-16-v6-t-h,honda,RA617H,Honda RA617H 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
porsche-753-15-f8,porsche,753,Porsche 753 1.5 F8,1.5,F8,NATURALLY_ASPIRATED
