id,constructorId,name,fullName
benetton-b201,benetton,B201,Benetton B201
mclaren-m29f,mclaren,M29F,McLaren M29F
footwork-fa14,footwork,FA14,Footwork FA14
ligier-js11-15,ligier,JS11/15,Ligier JS11/15
march-811,march,811,March 811
lotus-94t,lotus,94T,Lotus 94T
sauber-c30,sauber,C30,Sauber C30
lotus-18-21,lotus,18/21,Lotus 18/21
arrows-a2,arrows,A2,Arrows A2
brabham-bt45,brabham,BT45,Brabham BT45
benetton-b189b,benetton,B189B,Benetton B189B
williams-fw06,williams,FW06,Williams FW06
mclaren-mp4-2,mclaren,MP4/2,McLaren MP4/2
williams-fw31,williams,FW31,Williams FW31
brp-mk-2,brp,Mk 2,BRP Mk 2
lola-lc88,lola,LC88,Lola LC88
ags-jh21c,ags,JH21C,AGS JH21C
ferrari-642-2,ferrari,642/2,Ferrari 642/2
lola-lc87,lola,LC87,Lola LC87
stewart-sf3,stewart,SF3,Stewart SF3
cooper-t55,cooper,T55,Cooper T55
ensign-n181,ensign,N181,Ensign N181
lotus-88b,lotus,88B,Lotus 88B
tyrrell-024,tyrrell,20,Tyrrell 024
tyrrell-026,tyrrell,22,Tyrrell 026
alfa-romeo-c43,alfa-romeo,C43,Alfa Romeo C43
toro-rosso-str9,toro-rosso,STR9,Toro Rosso STR9
red-bull-rb8,red-bull,RB8,Red Bull RB8
cooper-t86,cooper,T86,Cooper T86
mercedes-f1-w03,mercedes,F1 W03,Mercedes F1 W03
ligier-js9,ligier,JS9,Ligier JS9
hill-gh1,hill,GH1,Hill GH1
matra-ms80,matra,MS80,Matra MS80
shadow-dn3b,shadow,DN3B,Shadow DN3B
ligier-js37,ligier,JS37,Ligier JS37
wolf-wr2,wolf,WR2,Wolf WR2
mercedes-f1-w07,mercedes,F1 W07,Mercedes F1 W07 Hybrid
spirit-101c,spirit,101C,Spirit 101C
ferrari-f2004,ferrari,F2004,Ferrari F2004
minardi-m01,minardi,M01,Minardi M01
williams-fw13b,williams,FW13B,Williams FW13B
williams-fw26,williams,FW26,Williams FW26
minardi-m197,minardi,M197,Minardi M197
tec-mec-f415,tec-mec,F415,Tec-Mec F415
ferrari-f2002b,ferrari,F2002B,Ferrari F2002B
matra-ms11,matra,MS11,Matra MS11
